ean - SupabaseID + Shopify ID,∞ Shopify Id,prix_achat,produit_en_ligne_nom_du_produit,produit_en_ligne_ddm,produit_en_ligne_stock_actuel,produit_en_ligne_prix_public,produit_en_ligne_rayon,produit_en_ligne_prix_vente,produit_en_ligne_sous_rayon,produit_en_ligne_categorie,quantite_vendue,Date première vente visible
3760061222922 - Beroia - Shampoing cheveux gras - 300ml - 8222 - 9881761579335,9881761579335,€2.15,Shampoing cheveux gras - 300ml,,60,€13.00,Hygiène et santé,€5.20,Cheveux,Shampoings liquides,44,2025-02-03 11:33
3760061220751 - Beroia - Shampoing cheveux normaux - 300ml - 8223 - 9881761644871,9881761644871,€2.00,Shampoing cheveux normaux - 300ml,,31,€12.40,Hygiène et santé,€4.96,Cheveux,Shampoings liquides,39,2025-02-03 11:33
3176800015081 - Plaisance Bio - Purée de pomme de terre et patate douce bio - 90g - 8202 - 9881761677639,9881761677639,€0.99,Purée de pomme de terre et patate douce bio - 90g,1/7/2025,69,€3.95,Épicerie salée,€2.96,Conserves/bocaux et plats cuisinés,Plats préparés,103,2025-01-02 11:19
3760061222786 - Beroia - Gel douche olive & laurier - 300ml - 8136 - 9881761841479,9881761841479,€1.55,Gel douche olive & laurier - 300ml,,50,€10.00,Hygiène et santé,€5.50,Corps,Gels douche et savons liquides,8,2025-02-03 11:33
3176800032262 - Natali - Préparation en poudre pour tortillas bio - 200g - 8200 - 9882482016583,9882482016583,€0.69,Préparation en poudre pour tortillas bio - 200g,19/5/2026,23,€2.75,Épicerie salée,€2.06,Conserves/bocaux et plats cuisinés,Plats préparés,41,2025-01-07 07:54
3760061220799 - Beroia - Savon noir d'Alep à l'eucalyptus - 180g - 8219 - 9882482082119,9882482082119,€1.50,Savon noir d'Alep à l'eucalyptus - 180g,,44,€10.30,Hygiène et santé,€5.67,Corps,Savons solides,16,2025-02-12 07:58
3760061225527 - Beroia - Huile d'argan - 80ml - 8148 - 9882482114887,9882482114887,€3.90,Huile d'argan - 80ml,,17,€21.70,Hygiène et santé,€14.11,Corps,Crèmes/ soins/ exfoliants,14,2025-02-04 12:57
3760061228849 - Beroia - Savon d’Alep douche parfumé à l’ambre & oud - 300ml - 8214 - 9882482147655,9882482147655,€1.98,Savon d’Alep douche parfumé à l’ambre & oud - 300ml,,62,€12.50,Hygiène et santé,€5.00,Corps,Gels douche et savons liquides,50,2025-01-19 12:04
3760061226098 - Najel - Gel douche au savon d'Alep - 1L - 8135 - 9882482180423,9882482180423,€4.51,Gel douche au savon d'Alep - 1L,,30,€19.60,Hygiène et santé,€11.76,Corps,Gels douche et savons liquides,21,2025-03-14 10:50
3760061223592 - Beroia - Savon noir à l’huile d’argan bio - Gommage corps - 180g - 8218 - 9882482245959,9882482245959,€1.50,Savon noir à l’huile d’argan bio - Gommage corps - 180g,,28,€10.30,Hygiène et santé,€5.67,Corps,Savons solides,31,2025-01-29 22:36
3760061225541 - Beroia - Huile de Dattier - 80ml - 8149 - 9882482278727,9882482278727,€4.32,Huile de Dattier - 80ml,,49,€20.50,Épicerie salée,€15.38,Huiles et vinaigres,Huiles,5,2025-02-15 09:15
8436007107381 - Ethiquable - Cacao pur bio - 280g - 8247 - 9896301658439,9896301658439,€1.45,Cacao pur bio - 280g,18/9/2025,103,€5.59,Boissons,€4.47,Boissons chaudes,Chocolat et céréales en poudre,248,2025-01-13 15:19
3017800228791 - Estival - Petits pois très fins -  560g - 8273 - 9896301756743,9896301756743,€0.42,Petits pois très fins -  560g,30/6/2028,864,€1.90,Épicerie salée,€1.33,Conserves/bocaux et plats cuisinés,Légumes,197,2025-01-05 12:42
3264221620080 - Embal'Sac - Sacs poubelles 10L - 20 unités - 8275 - 9896301789511,9896301789511,€0.48,Sacs poubelles 10L - 20 unités,,7,€2.10,Maison,€1.68,Accessoires ménagers,Sacs poubelles,69,2025-01-24 18:54
3489940063202 - Cosmo Naturel - Nettoyant visage solide douceur camomille et calendula bio - 45g - 8269 - 9896301887815,9896301887815,€1.96,Nettoyant visage solide douceur camomille et calendula bio - 45g,,17,€8.50,Hygiène et santé,€5.10,Visage,Nettoyants et démaquillants,10,2025-03-14 08:43
3470320000689 - Body Respect - Lait démaquillant toutes peaux - 250ml - 8257 - 9896302084423,9896302084423,€1.21,Lait démaquillant toutes peaux - 250ml,,11,€6.08,Hygiène et santé,€4.26,Visage,Nettoyants et démaquillants,22,2025-01-16 16:20
3700445920136 - Harmonie Verte - Lessive liquide savon de Marseille - 5L - 8262 - 9896302444871,9896302444871,,Lessive liquide savon de Marseille - 5L,,5,€28.50,Maison,€19.95,Linge,Lessives,20,2025-03-26 09:18
3700445920129 - Harmonie Verte - Liquide vaisselle concentre - 5000ml - 8264 - 9896302477639,9896302477639,€4.01,Liquide vaisselle concentre - 5000ml,,2,€20.05,Maison,€14.04,Entretien et ménage,Vaisselle,19,2025-01-12 12:44
3489940014457 - Lerutan - Lave vaisselle rinçage ultra efficace - 500ml - 8259 - 9896302510407,9896302510407,€1.36,Lave vaisselle rinçage ultra efficace - 500ml,,26,€5.90,Maison,€4.72,Entretien et ménage,Vaisselle,55,2025-02-02 10:30
"3041091903136 - Blédina - Purée de panais, lentilles corail & saumon sauvage - 230g - 8260 - 9896302608711",9896302608711,€0.75,"Purée de panais, lentilles corail & saumon sauvage - 230g",22/7/2025,62,€2.60,Bébé,€2.21,Alimentation bébé,Petits pots et repas,45,2025-02-04 22:47
3041091885890 - Blédina - Bledine + Caramel - 400g - 8245 - 9896302772551,9896302772551,€0.67,Bledine + Caramel - 400g,1/6/2025,88,€2.90,Bébé,€2.03,Alimentation bébé,Petits pots et repas,27,2025-02-01 15:20
3250392910501 - itinéraire des saveurs  - Compote abricots rouges du Roussillon - 590g - 8250 - 9896302903623,9896302903623,€0.96,Compote abricots rouges du Roussillon - 590g,25/7/2025,44,€4.16,Épicerie sucrée,€2.91,Pâtes à tartiner / Miels / Confitures,Confitures,363,2025-01-10 07:12
3760197510306 - Savor et sens - Moutarde Vin rosé et basilic - 110g - 8268 - 9896303001927,9896303001927,€1.40,Moutarde Vin rosé et basilic - 110g,2/4/2025,51,€6.60,Épicerie salée,€3.30,Sauces,Ketchup/ mayonnaises/ moutardes,47,2025-01-16 17:52
3760279060293 - La Nouvelle Botanique - Synergie coups bio - 30ml - 8278 - 9896303034695,9896303034695,€3.24,Synergie coups bio - 30ml,,22,€16.20,Hygiène et santé,€11.34,Aromathérapie,Huiles essentielles,6,2025-02-24 12:10
3760061222809 - Beroia - Savon d'Alep douche huile d'olive et baies de laurier bio - 300ml - 8276 - 9896303100231,9896303100231,€1.80,Savon d'Alep douche huile d'olive et baies de laurier bio - 300ml,,29,€11.50,Hygiène et santé,€5.18,Corps,Gels douche et savons liquides,51,2025-02-02 09:02
3760061225572 - Beroia - Elixir aux 3 huiles bio - 80ml - 8253 - 9896303198535,9896303198535,€1.55,Elixir aux 3 huiles bio - 80ml,,39,€10.00,Hygiène et santé,€5.50,Aromathérapie,Huiles végétales,27,2025-02-01 11:46
3760061222793 - Beroia - Savon douche moussant au jasmin bio - 300ml - 8277 - 9896303231303,9896303231303,€2.04,Savon douche moussant au jasmin bio - 300ml,,36,€12.40,Hygiène et santé,€6.20,Corps,Gels douche et savons liquides,22,2025-02-02 09:02
3770000506006 - Id Bio - Laurier en flocon bio - 30g - 8258 - 9896303395143,9896303395143,€1.58,Laurier en flocon bio - 30g,30/3/2027,188,€4.85,Épicerie salée,€4.37,Épices et condiments,Épices et aromates,4,2025-03-01 17:01
4046871011000 - Bel Premium - Coton-tiges - 160 pièces - 8283 - 9897701474631,9897701474631,€0.39,Coton-tiges - 160 pièces,,45,€2.83,Hygiène et santé,€1.42,Visage,Cotons et coton-tiges,113,2025-02-13 11:49
3760279060064 - La Nouvelle Botanique - Gel de massage circulation - 100ml - 8288 - 9897701507399,9897701507399,€3.98,Gel de massage circulation - 100ml,,7,€19.90,Hygiène et santé,€13.93,Corps,Crèmes/ soins/ exfoliants,2,2025-02-26 08:45
3760279060200 - La Nouvelle Botanique - Synergie respiration - 30ml - 8292 - 9897701572935,9897701572935,€2.39,Synergie respiration - 30ml,,6,€11.95,Hygiène et santé,€8.36,Aromathérapie,Huiles essentielles,8,2025-01-05 14:05
3760279060057 - La Nouvelle Botanique - Gel aux huiles essentielles minceur – 100 mL - 8287 - 9897701605703,9897701605703,€3.98,Gel aux huiles essentielles minceur – 100 mL,,76,€19.90,Hygiène et santé,€13.93,Corps,Crèmes/ soins/ exfoliants,13,2025-02-04 16:38
3760197510320 - Savor et sens - Moutarde aux 5 baies - 130g - 8290 - 9897701638471,9897701638471,€1.40,Moutarde aux 5 baies - 130g,30/3/2025,42,€6.60,Épicerie salée,€3.25,Sauces,Ketchup/ mayonnaises/ moutardes,19,2025-02-19 23:07
3760278710007 - La Nouvelle Botanique - Ma solution aroma immunité - 30ml - 8289 - 9897701671239,9897701671239,€3.24,Ma solution aroma immunité - 30ml,,8,€16.20,Hygiène et santé,€11.34,Aromathérapie,Huiles essentielles,8,2025-02-06 22:39
3592860015616 - Bâton Rouge - Moutarde de Dijon - 300ml - 8316 - 9908221739335,9908221739335,€1.15,Moutarde de Dijon - 300ml,31/3/2025,55,€4.59,Épicerie salée,€2.29,Sauces,Ketchup/ mayonnaises/ moutardes,25,2025-02-01 13:38
370000506600 - Id Bio - Poivre blanc en grain bio - 40g - 8317 - 9908221837639,9908221837639,€1.51,Poivre blanc en grain bio - 40g,30/7/2027,120,€5.01,Épicerie salée,€4.51,Épices et condiments,Épices et aromates,3,2025-02-13 16:45
3760197510177 - Savor et sens - Vinaigre balsamique à la framboise bio - 25cl - 8320 - 9908221968711,9908221968711,€2.08,Vinaigre balsamique à la framboise bio - 25cl,,6,€8.30,Épicerie salée,€4.15,Huiles et vinaigres,Vinaigres,106,2025-01-05 14:05
3760061226111 - Najel - Shampoing savon 2 en 1 bio - 1L - 8326 - 9909689024839,9909689024839,€4.97,Shampoing savon 2 en 1 bio - 1L,,60,€21.60,Hygiène et santé,€15.12,Cheveux,Shampoings liquides,11,2025-02-05 10:07
3760214630185 - Omum - Crème visage rééquilibrante et hydratante bio - 40ml - 8322 - 9909689123143,9909689123143,€6.19,Crème visage rééquilibrante et hydratante bio - 40ml,31/8/2025,96,€26.90,Hygiène et santé,€17.48,Visage,Crèmes et soins visage,4,2025-03-14 10:46
3760214630406 - Omum - Gel jambes légères bio - 125ml - 8324 - 9909689155911,9909689155911,€4.49,Gel jambes légères bio - 125ml,30/3/2026,95,€19.50,Hygiène et santé,€12.68,Corps,Crèmes/ soins/ exfoliants,5,2025-03-14 10:25
"3041090767920 - Blédina - Pots fondue de poireaux, riz et colin - 2x200g - 8334 - 9911899750727",9911899750727,€0.75,"Pots fondue de poireaux, riz et colin - 2x200g",30/5/2025,22,€2.99,Bébé,€2.24,Alimentation bébé,Petits pots et repas,48,2025-02-03 14:19
3383482301313 - Briochin - Savon mains à la verveine bio - 400ml - 8335 - 9911899816263,9911899816263,€1.56,Savon mains à la verveine bio - 400ml,,113,€7.33,Hygiène et santé,€5.50,Corps,Mains et pieds,83,2025-01-19 14:48
3667210000021 - I love me attitude - Barres protéinées à la spiruline baobab bio - 3x40g - 8356 - 9927754613063,9927754613063,€1.88,Barres protéinées à la spiruline baobab bio - 3x40g,30/6/2025,213,€7.50,Épicerie sucrée,€5.63,Biscuits et gâteaux,Barres de céréales et energy balls,49,2025-02-01 09:53
3667210000038 - I love me attitude - 3 Barres Hibiscus Acai protéinées bio - 3x40g - 8355 - 9927754940743,9927754940743,€1.88,3 Barres Hibiscus Acai protéinées bio - 3x40g,31/5/2025,229,€7.50,Épicerie sucrée,€5.63,Biscuits et gâteaux,Barres de céréales et energy balls,36,2025-02-05 21:15
3760061227248 - Beroia - Crème visage matifiante bio - 50ml - 8357 - 9927755497799,9927755497799,€2.00,Crème visage matifiante bio - 50ml,,102,€14.20,Hygiène et santé,€7.10,Visage,Crèmes et soins visage,42,2025-02-02 12:14
3667210000014 - I love me attitude - 3 Barres Caroube protéinées bio - 3x40g - 8354 - 9927755628871,9927755628871,€1.88,3 Barres Caroube protéinées bio - 3x40g,30/6/2025,204,€7.50,Épicerie sucrée,€5.63,Biscuits et gâteaux,Barres de céréales et energy balls,60,2025-02-01 09:53
704326200402 - Tints of Nature - Mini après-shampoing hydratant - 70ml - 8372 - 9935071084871,9935071084871,€0.80,Mini après-shampoing hydratant - 70ml,,27,€12.90,Hygiène et santé,€5.81,Cheveux,Masques et soins,7,2025-02-10 11:48
3770016453059 - Nemrod - Confiture de châtaignes bio - 170g - 8378 - 9939575472455,9939575472455,€1.05,Confiture de châtaignes bio - 170g,30/4/2026,402,€4.20,Épicerie sucrée,€3.15,Pâtes à tartiner / Miels / Confitures,Confitures,206,2025-01-19 13:58
3700914606349 - Bioenergies - Gélules souplesse articulaire bio - x45 gélules - 8381 - 9939575603527,9939575603527,€5.72,Gélules souplesse articulaire bio - x45 gélules,30/5/2025,35,€24.90,Hygiène et santé,€14.94,Santé,Compléments alimentaires,8,2025-01-24 18:54
3700914606325 - Bioenergies - Gélules digestion bio - x60 gélules - 8380 - 9939575701831,9939575701831,€3.63,Gélules digestion bio - x60 gélules,30/7/2025,37,€14.90,Hygiène et santé,€9.69,Santé,Compléments alimentaires,11,2025-02-24 07:20
3760061223363 - Beroia - Savon noir sans parfum - 180g - 8409 - 9940478492999,9940478492999,€1.20,Savon noir sans parfum - 180g,,17,€8.80,Hygiène et santé,€4.40,Corps,Savons solides,23,2025-01-24 18:54
3760061223172 - Beroia - Savon liquide ménager à l'huile d'olive - 200ml - 8408 - 9940478525767,9940478525767,€1.08,Savon liquide ménager à l'huile d'olive - 200ml,,36,€9.45,Maison,€4.72,Entretien et ménage,Nettoyants surface et sol,7,2025-02-16 20:20
3517360019452 - So Bio - Baume hydratant aloe vera bio - 50ml - 8384 - 9940478591303,9940478591303,€2.43,Baume hydratant aloe vera bio - 50ml,,29,€11.90,Hygiène et santé,€8.33,Visage,Crèmes et soins visage,25,2025-02-02 12:14
3517360020519 - So Bio - Crème perfectrice teintée medium bio - 40ml - 8388 - 9940869939527,9940869939527,€2.70,Crème perfectrice teintée medium bio - 40ml,,21,€11.90,Hygiène et santé,€9.52,Corps,Maquillage et parfums,32,2025-02-04 16:29
3517360021318 - So Bio - Sérum nutrition coco hydratation intense bio - 30ml - 8437 - 9946700382535,9946700382535,€2.70,Sérum nutrition coco hydratation intense bio - 30ml,,40,€10.39,Hygiène et santé,€9.35,Visage,Crèmes et soins visage,15,2025-02-01 16:04
5013665116813 - Whole Earth - Beurre de cacahuètes creamy - 320g - 8443 - 9948104032583,9948104032583,€1.15,Beurre de cacahuètes creamy - 320g,31/5/2025,703,€4.59,Épicerie sucrée,€3.21,Pâtes à tartiner / Miels / Confitures,Purées de fruits secs,440,2025-02-01 23:39
5021991944574 - Clipper - Infusion glacée camomille pêche orange bio - 25cl - 8458 - 9948104065351,9948104065351,€0.50,Infusion glacée camomille pêche orange bio - 25cl,30/4/2025,181,€1.65,Boissons,€1.32,Sirop/thés glacés/sodas,Thés et infusions glacées,229,2025-02-01 18:32
3760303750015 - Italians do it better - Sauce italienne Funghi tomates et cèpes - 185g - 8468 - 9948104098119,9948104098119,€1.35,Sauce italienne Funghi tomates et cèpes - 185g,23/8/2025,218,€4.50,Épicerie salée,€4.05,Sauces,Sauces tomate,56,2025-01-29 23:05
8006460000507 - Delicius - Filets d'anchois à la sauce piquante - 50g - 8452 - 9948104130887,9948104130887,€1.08,Filets d'anchois à la sauce piquante - 50g,28/5/2025,128,€3.60,Épicerie salée,€2.52,Conserves/bocaux et plats cuisinés,Produits de la mer,76,2025-02-01 23:39
3264963023965 - Limited Edition - Pâtes coudes rayés aux oeufs frais - 500g - 8464 - 9948104163655,9948104163655,€0.75,Pâtes coudes rayés aux oeufs frais - 500g,9/1/2027,429,€2.50,Épicerie salée,€2.25,Pâtes/riz et légumineuses,Pâtes,146,2025-01-24 11:38
3041311027789 - Marie Brizard - Sirop de pastèque - 70cl - 8470 - 9948104294727,9948104294727,€1.50,Sirop de pastèque - 70cl,30/9/2025,31,€9.99,Boissons,€5.00,Sirop/thés glacés/sodas,Sirops,79,2025-02-01 19:06
8032610252540 - Drago - Lingue de foccacia à l'huile d'olive - 200g - 8460 - 9948104327495,9948104327495,€1.38,Lingue de foccacia à l'huile d'olive - 200g,11/3/2025,1,€5.50,Épicerie salée,€2.75,Apéritifs,Chips et gâteaux,48,2025-02-01 10:00
3229820801872 - Bjorg - Fourrés au chocolat au lait bio (pochon de 2 biscuits) - 50g - 8453 - 9948104425799,9948104425799,€0.32,Fourrés au chocolat au lait bio (pochon de 2 biscuits) - 50g,15/4/2025,665,€1.05,Épicerie sucrée,€0.53,Petit-déjeuner,Céréales petit-déjeuner,516,2025-02-01 09:53
3041311030833 - Marie Brizard - Sirop de rhubarbe - 70cl - 8471 - 9948104458567,9948104458567,€1.50,Sirop de rhubarbe - 70cl,30/9/2025,66,€9.99,Boissons,€5.00,Sirop/thés glacés/sodas,Sirops,69,2025-01-31 15:23
3770036960018 - Ananda - Gélules minceurs - 90 gélules - 8455 - 9948104491335,9948104491335,€3.96,Gélules minceurs - 90 gélules,31/10/2025,38,€39.90,Hygiène et santé,€15.96,Santé,Compléments alimentaires,22,2025-02-05 14:38
3517360020748 - Natessance - Dentifrice gencives sensibles bio - 75ml - 8447 - 9948104720711,9948104720711,€0.94,Dentifrice gencives sensibles bio - 75ml,,3,€3.99,Hygiène et santé,€3.19,Dentaire,Dentifrices,98,2025-01-28 11:25
4046871002244 - Cosmoplast - Pansements à découper - x15 - 8463 - 9948104819015,9948104819015,€0.49,Pansements à découper - x15,30/11/2029,118,€6.60,Hygiène et santé,€2.64,Santé,Parapharmacie,56,2025-02-01 16:56
3517360021431 - So Bio - Recharge gel douche sans savon au lotus bio - 650ml - 8467 - 9948104851783,9948104851783,€1.69,Recharge gel douche sans savon au lotus bio - 650ml,,109,€8.45,Hygiène et santé,€5.91,Corps,Gels douche et savons liquides,52,2025-02-01 17:06
3770036960001 - Ananda - Gélules détox - 60 gélules - 8454 - 9948104917319,9948104917319,€3.96,Gélules détox - 60 gélules,30/11/2026,52,€39.90,Hygiène et santé,€15.96,Santé,Compléments alimentaires,8,2025-02-12 15:35
3667210000007 - I love me attitude - Barre protéinée au matcha bio - 3x 40g - 8442 - 9948105113927,9948105113927,€1.88,Barre protéinée au matcha bio - 3x 40g,30/6/2025,128,€7.50,Épicerie sucrée,€5.63,Biscuits et gâteaux,Barres de céréales et energy balls,63,2025-02-01 09:53
3041311028281 - Marie Brizard - Sirop de pamplemousse - 70cl  - 8469 - 9948105179463,9948105179463,€1.50,Sirop de pamplemousse - 70cl ,30/9/2025,95,€9.99,Boissons,€5.00,Sirop/thés glacés/sodas,Sirops,38,2025-01-29 22:36
3700914606301 - Bioenergies - Draineur Bio - 60 gelules - 8449 - 9948105212231,9948105212231,€4.22,Draineur Bio - 60 gelules,30/4/2025,40,€16.90,Hygiène et santé,€10.98,Santé,Compléments alimentaires,4,2025-01-23 18:45
871561004185 - Touch Organic - Thé blanc aux fruits rouges bio et équitable - 24 sachets - 8472 - 9948105441607,9948105441607,€1.04,Thé blanc aux fruits rouges bio et équitable - 24 sachets,19/7/2026,160,€4.68,Boissons,€3.28,Boissons chaudes,Thés et matés,71,2025-02-01 18:42
3264963017377 - Limited Edition - Pâtes papillons - 500g - 8465 - 9948105507143,9948105507143,€0.75,Pâtes papillons - 500g,4/9/2027,14,€2.50,Épicerie salée,€2.25,Pâtes/riz et légumineuses,Pâtes,111,2025-01-23 18:45
5201360660766 - Belin - Biscuits apéritifs Rolls Original - 80g - 8445 - 9948105605447,9948105605447,€0.39,Biscuits apéritifs Rolls Original - 80g,8/3/2025,45,€1.56,Épicerie salée,€0.97,Apéritifs,Chips et gâteaux,313,2025-02-01 16:04
3760253401869 - Italians do it better - Sauce tomate Aglio - 330g - 8478 - 9948820242759,9948820242759,€1.25,Sauce tomate Aglio - 330g,18/5/2025,238,€3.79,Épicerie salée,€3.41,Sauces,Sauces tomate,60,2025-02-01 09:53
3017800502808 - Jean Nicolas - Petits pois doux et carottes en rondelles avec des échalotes et du miel - 250g - 8486 - 9950010933575,9950010933575,€0.54,Petits pois doux et carottes en rondelles avec des échalotes et du miel - 250g,31/7/2025,584,€2.50,Épicerie salée,€2.50,Conserves/bocaux et plats cuisinés,Légumes,221,2025-01-31 15:59
3017800502815 - Jean Nicolas : L’artisanat au service de vos passions - Haricots blancs et carottes au thym et à l'échalote - 235g - 8482 - 9950010966343,9950010966343,€0.54,Haricots blancs et carottes au thym et à l'échalote - 235g,31/12/2025,338,€2.50,Épicerie salée,€1.63,Conserves/bocaux et plats cuisinés,Légumes,778,2025-01-27 16:15
3041311026911 - Marie Brizard - Sirop de caramel - 70cl - 8490 - 9950011097415,9950011097415,€1.50,Sirop de caramel - 70cl,31/12/2025,27,€9.99,Boissons,€5.00,Sirop/thés glacés/sodas,Sirops,46,2025-02-02 13:42
3041311028540 - Marie Brizard - Sirop saveur bubble gum - 70cl - 8491 - 9950011130183,9950011130183,€1.50,Sirop saveur bubble gum - 70cl,31/1/2026,75,€9.99,Boissons,€9.99,Sirop/thés glacés/sodas,Sirops,25,2025-02-05 06:28
840011102184 - Touch Organic - Thé blanc bio - 60g - 8492 - 9950011195719,9950011195719,€1.33,Thé blanc bio - 60g,25/1/2027,216,€6.05,Boissons,€6.05,Boissons chaudes,Thés et matés,29,2025-02-10 10:21
3041311027932 - Marie Brizard - Sirop à la cannelle - 70cl - 8488 - 9950011261255,9950011261255,€1.50,Sirop à la cannelle - 70cl,30/10/2025,80,€9.99,Boissons,€5.00,Sirop/thés glacés/sodas,Sirops,34,2025-02-04 00:53
3041311026454 - Marie Brizard - Sirop à la grenadine - 70cl - 8489 - 9950011294023,9950011294023,€1.39,Sirop à la grenadine - 70cl,30/8/2027,188,€8.99,Boissons,€4.50,Sirop/thés glacés/sodas,Sirops,61,2025-02-19 20:23
3770036960025 - Ananda - Gummies énergie  - 8481 - 9950011392327,9950011392327,€3.56,Gummies énergie ,30/3/2025,4,€19.90,Hygiène et santé,€9.95,Santé,Compléments alimentaires,17,2025-02-06 08:11
3770036960032 - Ananda - Gummies sommeil - 30 gummies - 8500 - 9951810388295,9951810388295,€3.56,Gummies sommeil - 30 gummies,30/4/2025,5,€19.90,Hygiène et santé,€11.94,Santé,Compléments alimentaires,26,2025-02-01 09:01
3760161790284 - Nutrisensis - Infusion fenouil bio - 20 sachets - 8502 - 9951810519367,9951810519367,€0.96,Infusion fenouil bio - 20 sachets,31/5/2025,30,€3.47,Boissons,€2.95,Boissons chaudes,Infusions et tisanes,75,2025-02-01 07:07
3760161790666 - Nutrisensis - Infusion ventre plat bio - 20 sachets - 8503 - 9951810584903,9951810584903,€1.04,Infusion ventre plat bio - 20 sachets,18/7/2025,183,€3.77,Hygiène et santé,€2.45,Santé,Compléments alimentaires,53,2025-02-05 14:38
3760253401395 - Italians do it better - Sauce arrabbiata - 330g - 8509 - 9951810650439,9951810650439,€1.25,Sauce arrabbiata - 330g,21/7/2025,97,€3.79,Épicerie salée,€3.79,Sauces,Sauces tomate,26,2025-02-06 15:36
3168930003632 - Quaker - Flocons d'avoine - 800g - 8499 - 9951810748743,9951810748743,€0.66,Flocons d'avoine - 800g,28/6/2025,45,€2.92,Épicerie sucrée,€2.04,Petit-déjeuner,Flocons/ sons et porridges,303,2025-02-01 09:01
3017800519653 - Maingourd - Haricots beurre très fins - 220g - 8501 - 9951810814279,9951810814279,€0.45,Haricots beurre très fins - 220g,31/8/2026,240,€1.80,Épicerie salée,€1.35,Conserves/bocaux et plats cuisinés,Légumes,324,2025-01-27 16:15
3256550081922 - Loic Raison - Cidre de dégustation - 75cl - 8497 - 9951810912583,9951810912583,€1.08,Cidre de dégustation - 75cl,,117,€4.68,Boissons,€3.74,Boissons alcoolisées,Cidre,108,2025-01-24 18:54
4027800079025 - Wilkinson Sword - Lot de 5 rasoirs Everyday 2 homme - 8506 - 9951810945351,9951810945351,€0.85,Lot de 5 rasoirs Everyday 2 homme,,42,€6.95,Hygiène et santé,€2.78,Visage,Soins masculins,54,2025-02-01 15:20
840011102160 - Touch Organic - Thé vert Sencha bio - 100g - 8511 - 9951811010887,9951811010887,€1.11,Thé vert Sencha bio - 100g,27/8/2026,181,€5.03,Boissons,€3.52,Boissons chaudes,Thés et matés,53,2025-02-01 11:46
3112940135005 - Maingourd - Haricots blanc - 500g - 8519 - 9954913911111,9954913911111,€0.54,Haricots blanc - 500g,30/6/2027,461,€1.99,Épicerie salée,€1.59,Conserves/bocaux et plats cuisinés,Légumes,129,2025-02-01 13:54
8720182126474 - Knorr - Soupe saveur pot au feu en sachet bio - 35g - 8523 - 9954913943879,9954913943879,€0.33,Soupe saveur pot au feu en sachet bio - 35g,30/4/2025,53,€1.68,Épicerie salée,€1.01,Conserves/bocaux et plats cuisinés,Soupes et veloutés,217,2025-02-19 08:46
3229820790251 - Bjorg - Lot de 3 fourrés chocolat-noisette bio - 3x225g - 8518 - 9954913976647,9954913976647,€1.11,Lot de 3 fourrés chocolat-noisette bio - 3x225g,4/6/2025,139,€11.40,Épicerie sucrée,€7.98,Biscuits et gâteaux,Biscuits au chocolat,401,2025-02-01 22:51
3112940799641 - Maingourd - Petits pois - 280g - 8557 - 9961159360839,9961159360839,€0.34,Petits pois - 280g,30/6/2028,364,€1.20,Épicerie salée,€1.02,Conserves/bocaux et plats cuisinés,Légumes,223,2025-02-01 14:41
3770019234006 - KOKO Kombucha - Kombucha Original bio - 33cl - 8550 - 9961159459143,9961159459143,€0.83,Kombucha Original bio - 33cl,13/7/2025,52,€3.28,Boissons,€2.46,Sirop/thés glacés/sodas,Kéfirs et kombucha,142,2025-02-02 19:06
3609060004293 - Ibo - Vinaigre de cidre au basilic bio - 25 cl - 8561 - 9961159524679,9961159524679,€1.26,Vinaigre de cidre au basilic bio - 25 cl,,124,€4.99,Épicerie salée,€3.74,Huiles et vinaigres,Vinaigres,58,2025-02-01 09:58
3700067373938 - Phyto-Actif - Microbiotil défense 7 jours - 14 sachets - 8553 - 9961159655751,9961159655751,€1.62,Microbiotil défense 7 jours - 14 sachets,31/7/2025,1,€10.98,Hygiène et santé,€5.49,Santé,Compléments alimentaires,53,2025-01-29 22:36
3760253401470 - Italians do it better - Sauce Provenzale - 330g - 8559 - 9961159688519,9961159688519,€1.25,Sauce Provenzale - 330g,21/7/2025,347,€3.79,Épicerie salée,€3.41,Sauces,Sauces tomate,54,2025-02-01 09:53
3175681295810 - Gerlinéa - Milkshake fit & protein saveur cookie caramel - 340g  - 8554 - 9961159721287,9961159721287,€4.42,Milkshake fit & protein saveur cookie caramel - 340g ,31/3/2025,17,€12.99,Boissons,€6.50,Boissons diététiques et sportives,Boissons sportives,72,2025-02-12 12:21
3760253401418 - Italians do it better - Sauce Puttanesca - 330g - 8560 - 9961159786823,9961159786823,€1.25,Sauce Puttanesca - 330g,22/7/2025,352,€3.79,Épicerie salée,€3.41,Sauces,Sauces tomate,53,2025-02-02 11:04
"3770010805168 - Mulebar - Compote énergétique orange, carotte et citron - 65g - 8547 - 9961159819591",9961159819591,€0.70,"Compote énergétique orange, carotte et citron - 65g",28/4/2025,58,€2.80,Épicerie sucrée,€2.10,Compotes et desserts,Compotes,62,2025-02-03 22:35
3700914606264 - Bioenergies - Complexe antioxydant bio - 60 gélules - 8546 - 9961159852359,9961159852359,€6.33,Complexe antioxydant bio - 60 gélules,30/4/2025,30,€26.90,Hygiène et santé,€18.83,Santé,Compléments alimentaires,13,2025-02-09 20:28
